cpu,cc,time,hw-probe
11800H 4600 MHz,clang 16,1.00,
11800H 4600 MHz,gcc -march=tigerlake,1.02,
Ryzen 5700G,,1.04,
Core Ultra 5 125U,,1.09,http://bsd-hardware.info/?probe=d769d43558
11800H 4600 MHz,gcc,1.11,
M1 Max,,1.18,MacOS 13.5
M1 Pro,,1.18,MacOS Sonoma
M1 3200 MHz,,1.20,
Ryzen 5 3600,gcc,1.35,
Ampere (ARM64),,1.51,Oracle VDS Ampere (ARM64)
G6900,,1.53,
Athlon 3000G,gcc,1.63,
G4900 3.10 GHz,gcc,1.80,
RK3588,,2.02,
G2030,,2.03,tbd
i5-8250U 1.6 GHz,,2.06,ThinkPad E580
Xeon E5-2690 v4 2.60GHz,,2.06,https://bsd-hardware.info/?probe=53d31a28bf
G4900 3.10 GHz,,2.19,
Xeon E5-2697 v4 2.3 GHz,,2.26,https://bsd-hardware.info/?probe=63c10b6ae5
i5-2520M,,2.35,
Xeon E5-2650L v3 1.80 GHz,gcc,2.35,
Xeon X5550 2.67GHz,,2.83,https://bsd-hardware.info/?probe=c368087050
G6950,,3.01,https://bsd-hardware.info/?probe=d5676f7895
i5-M520,,3.01,https://bsd-hardware.info/?probe=194b8efa98
J4125,,3.50,
Q6600,,3.64,https://bsd-hardware.info/?probe=d4a26f9214
i3-M350,,3.71,https://bsd-hardware.info/?probe=7b529b0888
E6420,,4.16,https://bsd-hardware.info/?probe=98e9deff3d
E2200,,5.35,https://bsd-hardware.info/?probe=05dea28605
Elbrus E8C 1200MHz,,5.37,
Athlon II X2 240,,6.27,
Baikal 1.5 GHz,,6.32,
ARM Cortex-A53 1512 MHz -A72 2016 MHz ,gcc,7.66,asus tinker board 2s/2g/16g
Itanium 1.4 GHz,gcc,7.85,HP Integrity rx2660 is gone
E6400,,7.85,https://bsd-hardware.info/?probe=5c227c5b61
i5-8365U,icc,8,retest!
AMD E1-6010,,10.18,
Athlon 64 3200+,,10.60,https://bsd-hardware.info/?probe=3dfb767d80
L2400,,10.65,https://bsd-hardware.info/?probe=cad87ee9a5
RK3588 800 MHz,,11,
Xeon 2.40 GHz,gcc,11.82,https://linux-hardware.org/?probe=0823a08bd8
p4 2.80 GHz,,12.10,https://bsd-hardware.info/?probe=4fe4c14195
p4 2.66 GHz,,13.65,is gone
Pentium M 1.87 GHz,,14.62,https://bsd-hardware.info/?probe=1fc4bc2661
Solo U1400,,15.39,https://bsd-hardware.info/?probe=bb055a94f0
rv64imafdc 1008 MHz,gcc,23.61,Mango Pi MQ-Pro RISC-V SBC
Celeron M 900 MHz,,25.71,https://bsd-hardware.info/?probe=a4c9546642
Atom Z550 2 GHz,,28.22,https://bsd-hardware.info/?probe=9dab449a23
UltraSPARC-T2 1165.379 MHz,,30.68,https://bsd-hardware.info/?probe=50457ff825
PowerPC 1.25 GHz,,42.21,PowerBook G4
pIII 500 MHz,,80,
Eden ESP 6000 600 MHz,,135.54,https://bsd-hardware.info/?probe=3274cd095e
Pentium M xxx GHz,,xxx,https://bsd-hardware.info/?probe=1e849f86cf
